idx,Country,Population,CropArea
0,Papua New Guinea,8947024,14180.0
1,Greenland,56770,2431.1
2,Iceland,341243,18720.0
3,Canada,37742154,571174.0
4,Algeria,43851044,413160.71
5,Benin,12123200,39500.0
6,Burkina Faso,20903273,126140.0
7,Ghana,31072940,126037.4
8,Cote d'Ivoire,26378274,233000.0
9,Nigeria,206139589,684930.0
10,Niger,24206644,465950.0
11,Tunisia,11818619,97005.0
12,Togo,8278724,38200.0
13,Belgium,11589623,13646.093
14,Germany,83783942,165950.0
15,Estonia,1326535,9850.0
16,Finland,5540720,22700.0
17,United Kingdom,67886011,172592.981
18,Guernsey,62792,0.0
19,Jersey,97857,0.0
20,Isle of Man,85033,398.0
21,Falkland Islands,3480,0.0
22,Netherlands,17134872,18144.5
23,Ireland,4937786,45120.0
24,Denmark,5792202,26199.87
25,Faroe Islands,48863,960.7
26,Luxembourg,625978,1321.36
27,Norway,5421241,9859.62
28,Poland,37846611,147330.0
29,Sweden,10099265,30055.4
30,South Africa,59308690,963410.0
31,Botswana,2351627,258620.0
32,Congo (Brazzaville),5518087,106390.0
33,Congo (Kinshasa),89561403,338950.0
34,Swaziland,1160164,0.0
35,Central African Republic,4829767,49090.0
36,Equatorial Guinea,1402985,1049.2
37,Saint Helena,6077,0.0
38,Mauritius,1271768,860.0
39,British Indian Ocean Territory,3000,0.0
40,Cameroon,26545863,97500.0
41,Zambia,18383955,238390.0
42,Comoros,869601,1330.0
43,Mayotte,272815,0.0
44,Reunion,895312,0.0
45,Madagascar,27691018,408950.0
46,Angola,32866272,458920.0
47,Gabon,2225734,21532.36
48,Sao Tome and Principe,219159,420.0
49,Mozambique,31255435,414138.32
50,Seychelles,98347,15.5
51,Chad,16425864,503380.0
52,Zimbabwe,14862924,162000.0
53,Malawi,19129952,59840.0
54,Lesotho,2142249,24330.0
55,Mali,20250833,429420.0
56,Gambia,2416668,6340.0
57,Spain,46754778,261426.381
58,Sierra Leone,7976983,39490.0
59,Liberia,5057681,19230.4
60,Morocco,36910560,303580.0
61,Senegal,16743927,94300.0
62,Mauritania,4649658,397100.0
63,Guinea,13132795,146350.0
64,Cape Verde,555987,790.0
65,Ethiopia,114963588,384761.0
66,Burundi,11890784,20760.0
67,Somalia,15893222,441280.0
68,Egypt,102334404,39710.0
69,Kenya,53771296,277100.0
70,Libya,6871292,153500.0
71,Rwanda,12952218,19586.0
72,Sudan,43849260,1126648.4
73,South Sudan,11193725,282507.0
74,Tanzania,59734218,395212.0
75,Uganda,45741007,144150.0
76,Albania,2877797,11655.55
77,Bulgaria,6948445,50470.0
78,Cyprus,1207359,1276.493
79,Croatia,4105267,15050.0
80,France,65273511,285537.54
81,Saint Pierre and Miquelon,5794,0.0
82,Greece,10423054,58671.88
83,Hungary,9660351,49166.726
84,Italy,60461826,125183.7
85,Slovenia,2078938,6104.9
86,Czech Republic,10708981,35238.71
87,Israel,8655535,6464.0
88,Malta,441543,91.1
89,Austria,9006398,26026.654
90,Portugal,10196709,39542.556
91,Bosnia and Herzegovina,3280819,22420.0
92,Romania,19237691,130490.0
93,Switzerland,8654622,15024.369
94,Turkey,84339067,377620.0
95,Moldova,4033963,22646.0
96,Macedonia,2083374,12620.0
97,Gibraltar,33691,0.0
98,Serbia,8737371,34820.0
99,Montenegro,628066,2579.5
100,Slovakia,5459642,18830.0
101,Turks and Caicos Islands,38717,10.0
102,Dominican Republic,10847910,24290.0
103,Guatemala,17915568,46120.0
104,Honduras,9904607,35380.0
105,Jamaica,2961167,4170.0
106,Mexico,128932753,971380.0
107,Nicaragua,6624554,50910.0
